anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2022,0,64566,MINERA ESCONDIDA LIMITADA,79587210-8,MINA 0,Minería,,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Antofagasta,Antofagasta,Antofagasta,2101,-24.25560211,-69.13134766,Generador Industrial,,,183.74,2,Valorización,7.0,Preparación para reutilización,,,17 04 07 | Metales mezclados,17 04 07 | Metales mezclados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),,Destinatario Final,SERVILINARES SPA,Antofagasta,Antofagasta,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,4473,MADERAS ARAUCO S.A.,96510970-6,PLANTA VIÑALES,Industria de la madera y silvicultura,,Aserrado y acepilladura de madera,C1610,Aserrado y acepilladura de madera,C161000,Maule,Talca,Constitución,7102,-35.37071755,-72.41094156,Generador Industrial,,,4503.775,2,Valorización,7.0,Preparación para reutilización,,,10 01 24 | Arenas de lechos fluidizados,10 01 24 | Arenas de lechos fluidizados,,10 | Residuos de procesos térmicos,,01 | Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5461117.0,PLANTA BULNES 3,VERDE CORP SPA,Bulnes,Ñuble,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5457967,VINEDOS EMILIANA S A,96512200-1,BODEGA PALMERAS,Otras industrias manufactureras,,Elaboración de vinos,C1102,Elaboración de vinos,C110200,Libertador General Bernardo O'Higgins,Colchagua,Nancagua,6305,-34.67670392,-71.20550407,Generador Industrial,,,0.041,2,Valorización,,,,,15 01 02 | Envases de plástico,15 01 02 | Envases de plástico,,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),5461906.0,RECUPAC SUCURSAL TALCA,RECUPAC S A,Talca,Maule,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,87.424,2,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,17 04 02 | Aluminio,17 04 02 | Aluminio,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),5476918.0,LOS FRESNOS,INMOBILIARIA E INVERSIONES DOS M LIMITADA,Colina,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,149.5,1,Eliminación,3.0,Disposición final,60.0,Sitio de Escombros de la Construcción,17 01 01 | Hormigón,17 01 01 | Hormigón,,17 | Residuos de la construcción y demolición,,"01 | Hormigón, ladrillos, tejas y materiales cerámicos",,INVERSIONES INOCUA SPA,INVERSIONES INOCUA SPA,Pitrufquén,La Araucanía,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,151.221,2,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,"17 04 01 | Cobre, bronce, latón","17 04 01 | Cobre, bronce, latón",,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),5476918.0,LOS FRESNOS,INMOBILIARIA E INVERSIONES DOS M LIMITADA,Colina,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,4586488,INSTAPANEL S.A.,96859640-3,CINTAC SAIC Lonquen,Otras industrias manufactureras,,Fabricación de productos metálicos para uso estructural,C2511,Fabricación de productos metálicos para uso estructural,C251100,Metropolitana de Santiago,Santiago,Maipú,13119,-33.5316103,-70.73272581,Generador Industrial,,,921.629,2,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,17 04 12 | Hierro y acero galvanizados,17 04 12 | Hierro y acero galvanizados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),4989.0,PLANTA COLINA,ACEROS AZA S.A.,Colina,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,633,CIA SIDERURGICA HUACHIPATO S.A.,94637000-2,COMPAÑÍA SIDERÚRGICA HUACHIPATO,Otras industrias manufactureras,,Industrias básicas de hierro y acero,C2410,Industrias básicas de hierro y acero,C241000,Biobío,Concepción,Talcahuano,8110,-36.75168609,-73.12542139,Generador Industrial,,,6450.0,1,Eliminación,3.0,Disposición final,65.0,Área de Disposición Controlada,10 02 10 | Cascarilla de laminación,10 02 10 | Cascarilla de laminación,,10 | Residuos de procesos térmicos,,02 | Residuos de la industria del hierro y del acero,633.0,COMPAÑÍA SIDERÚRGICA HUACHIPATO,CIA SIDERURGICA HUACHIPATO S.A.,Talcahuano,Biobío,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5457740,SALMONES CAMANCHACA S A,76065596-1,CONTAO 102262,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Palena,Hualaihué,10403,-41.81108952,-72.75239794,Generador Industrial,,,6.16,1,Eliminación,3.0,Disposición final,,,02 01 01 | Lodos de lavado y limpieza,02 01 01 | Lodos de lavado y limpieza,,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",,"01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",244575.0,ECOBIO,ECOBIO SPA,Chillan Viejo,Ñuble,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5452838,GESTION INTEGRAL DE RESIDUOS GEOBARRA EXINS S.A.,76562260-3,GEOBARRA EXINS LTDA,Gestores de residuos,,Recuperación de materiales,E3830,Recuperación y reciclamiento de desperdicios y desechos metálicos,E383001,Libertador General Bernardo O'Higgins,Cachapoal,Rengo,6115,-34.35011907,-70.84230087,Generador Industrial,,,13.065,2,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,17 04 02 | Aluminio,17 04 02 | Aluminio,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),5470979.0,ESSAAR GROUP,VANADIUM SPA,San Bernardo,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,322231,MINERA VALLE CENTRAL S A,96595400-7,MINERA VALLE CENTRAL,Minería,,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Libertador General Bernardo O'Higgins,Cachapoal,Requínoa,6116,-34.23523824,-70.68682259,Generador Industrial,,,63.69,2,Valorización,8.0,Reciclaje,18.0,Reciclaje de plásticos,17 02 10 | Plástico HDPE (polietileno de alta densidad),17 02 10 | Plástico HDPE (polietileno de alta densidad),,17 | Residuos de la construcción y demolición,,"02 | Madera, vidrio y plástico",5452838.0,GEOBARRA EXINS LTDA,GESTION INTEGRAL DE RESIDUOS GEOBARRA EXINS S.A.,Rengo,Libertador Gral. Bernardo O'Higgins,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,83021,COMPANIA GENERAL DE ELECTRICIDAD S.A.,76411321-7,OFICINA TÉCNICA ILLAPEL,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Distribución de energía eléctrica,D351030,Coquimbo,Choapa,Illapel,4201,-31.62988411,-71.15891585,Generador Industrial,,,70.75,1,Eliminación,3.0,Disposición final,12.0,Vertedero,17 01 01 | Hormigón,17 01 01 | Hormigón,,17 | Residuos de la construcción y demolición,,"01 | Hormigón, ladrillos, tejas y materiales cerámicos",5485519.0,Vertedero Municipal Quebrada Lo Gallardo,I MUNICIPALIDAD DE ILLAPEL,Illapel,Coquimbo,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,245367,ORAFTI CHILE S A,77894990-3,ORAFTI CHILE S A,Otras industrias manufactureras,,Elaboración de otros productos alimenticios n.c.p.,C1079,Elaboración de otros productos alimenticios n.c.p.,C107909,Ñuble,Diguillín,Pemuco,16105,-36.91337606,-72.34325999,Generador Industrial,,,196.64,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,10 01 03 | Cenizas volantes de turba y de madera (no tratada),10 01 03 | Cenizas volantes de turba y de madera (no tratada),,10 | Residuos de procesos térmicos,,01 | Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),244575.0,ECOBIO,ECOBIO SPA,Chillan Viejo,Ñuble,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,4473,MADERAS ARAUCO S.A.,96510970-6,PLANTA VIÑALES,Industria de la madera y silvicultura,,Aserrado y acepilladura de madera,C1610,Aserrado y acepilladura de madera,C161000,Maule,Talca,Constitución,7102,-35.37071755,-72.41094156,Generador Industrial,,,492.74,1,Eliminación,3.0,Disposición final,32.0,Recepción de Lodos en PTAS,10 01 99 | Residuos no especificados en otra categoría,10 01 99 | Residuos no especificados en otra categoría,,10 | Residuos de procesos térmicos,,01 | Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),4587456.0,PTAS CONSTITUCIÓN,NUEVOSUR S.A.,Constitución,Maule,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5485109,FUCHS GELLONA Y SILVA S A,96675100-2,ARRIETA CAÑAS,Construcción,,Construcción de edificios para uso residencial y no residencial,F4100,Construcción de edificios para uso residencial,F410010,Metropolitana de Santiago,Santiago,Ñuñoa,13120,-33.4577047,-70.5714363,Generador Industrial,,,4.64,1,Eliminación,3.0,Disposición final,60.0,Sitio de Escombros de la Construcción,17 02 01 | Madera libre de impregnación o pinturas,17 02 01 | Madera libre de impregnación o pinturas,,17 | Residuos de la construcción y demolición,,"02 | Madera, vidrio y plástico",5478506.0,INVERSIONES CORMI LIMITADA,INVERSIONES CORMI LIMITADA,Pudahuel,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5467062,AVERY DENNISON CHILE S A,96721090-0,AVERY DENNISON CHILE SA,Comercio mayorista,,Venta al por mayor no especializada,G4690,Venta al por mayor no especializada,G469000,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.37918587,-70.76794103,Generador Industrial,,,0.25,2,Valorización,,,,,15 01 02 | Envases de plástico,15 01 02 | Envases de plástico,,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),5459962.0,PLANTA ENFAENA,ENFAENA S.A.,La Pintana,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5460945,TRUSAL S A,96566740-7,CALETA VELERO,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Palena,Hualaihué,10403,-42.21721464,-72.52436176,Generador Industrial,,,9.45,1,Eliminación,3.0,Disposición final,12.0,Vertedero,20 03 99 | Residuos municipales no especificados en otra categoría,20 03 99 | Residuos municipales no especificados en otra categoría,,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",,03 | Otros residuos municipales,59355.0,EL EMPALME,REXIN SPA,Maullín,Los Lagos,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5452470,GRANJA MARINA TORNAGALEONES S A,87752000-5,CAPEAHUAPI,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Llanquihue,Puerto Montt,10101,-41.58393388,-72.9652107,Generador Industrial,,,34.2,1,Eliminación,3.0,Disposición final,12.0,Vertedero,20 03 99 | Residuos municipales no especificados en otra categoría,20 03 99 | Residuos municipales no especificados en otra categoría,,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",,03 | Otros residuos municipales,59355.0,EL EMPALME,REXIN SPA,Maullín,Los Lagos,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5486420,EBCO S.A.,76525290-3,Casas Portal Aníbal Pinto,Construcción,,Otras actividades especializadas de construcción,F4390,Otras actividades especializadas de construcción,F439000,Biobío,Concepción,Concepción,8101,-36.80304298,-73.06270937,Generador Industrial,,,93.5,1,Eliminación,,,,,"17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03","17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",,17 | Residuos de la construcción y demolición,,09 | Otros residuos de construcción y demolición,5459739.0,HOSPITAL DE TENO,SERVICIO DE SALUD DEL MAULE HOSPITAL DE TENO,Teno,Maule,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5486472,EBCO S.A.,76525290-3,Casas Terrazas De Landa,Construcción,,Otras actividades especializadas de construcción,F4390,Otras actividades especializadas de construcción,F439000,Biobío,Concepción,Penco,8107,-36.772273,-73.0123491,Generador Industrial,,,0.37,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),44.0,Pretratamiento de Metales ,17 04 07 | Metales mezclados,17 04 07 | Metales mezclados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),5474864.0,SERVICIOS INDUSTRIALES Y RECICLADORA BIO BIO SOCIEDAD ANONIMA,SERVICIOS INDUSTRIALES Y RECICLADORA BIO BIO SOCIEDAD ANONIMA,Talcahuano,Biobío,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5486472,EBCO S.A.,76525290-3,Casas Terrazas De Landa,Construcción,,Otras actividades especializadas de construcción,F4390,Otras actividades especializadas de construcción,F439000,Biobío,Concepción,Penco,8107,-36.772273,-73.0123491,Generador Industrial,,,1.2,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),43.0,Pretratamiento de madera que no contiene sustancias peligrosas,17 02 01 | Madera libre de impregnación o pinturas,17 02 01 | Madera libre de impregnación o pinturas,,17 | Residuos de la construcción y demolición,,"02 | Madera, vidrio y plástico",5483040.0,Escuadrón,SOC LATSAGUE SAAVEDRA LIMITADA,Coronel,Biobío,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5486472,EBCO S.A.,76525290-3,Casas Terrazas De Landa,Construcción,,Otras actividades especializadas de construcción,F4390,Otras actividades especializadas de construcción,F439000,Biobío,Concepción,Penco,8107,-36.772273,-73.0123491,Generador Industrial,,,6.56,1,Eliminación,,,,,"17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03","17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",,17 | Residuos de la construcción y demolición,,09 | Otros residuos de construcción y demolición,33161.0,PLANTA COPIULEMU,HIDRONOR CHILE S.A,Florida,Biobío,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,386458,AES ANDES S A,94272000-9,CENTRAL TERMOELECTRICA LAJA,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Biobío,Biobío,Cabrero,8303,-37.03330069,-72.39999816,Generador Industrial,,,0.002998,2,Valorización,31.0,Aplicación al Suelo,,,10 01 03 | Cenizas volantes de turba y de madera (no tratada),10 01 03 | Cenizas volantes de turba y de madera (no tratada),,10 | Residuos de procesos térmicos,,01 | Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),,VICTOR MANUEL CIFUENTES CERNA,VICTOR MANUEL CIFUENTES CERNA,Cabrero,Biobío,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5467379,SALMONES ANTARTICA S A,86100500-3,CENTRO CAGUACHE,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Chiloé,Quinchao,10210,-42.50419514,-73.27896775,Generador Industrial,,,4.725,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,20 03 01 | Mezclas de residuos municipales,20 03 01 | Mezclas de residuos municipales,,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",,03 | Otros residuos municipales,5453436.0,RELLENO SANITARIO LOS ANGELES,K D M  S.A.,Los Angeles,Biobío,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5402438,MULTI X S.A.,79891160-0,CENTRO CHELIN,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Chiloé,Castro,10201,-42.54290253,-73.49393682,Generador Industrial,,,0.016,2,Valorización,8.0,Reciclaje,18.0,Reciclaje de plásticos,02 01 04 | Residuos de plásticos (excepto embalajes),02 01 04 | Residuos de plásticos (excepto embalajes),,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",,"01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",5480622.0,Planta Greenspot,GREENSPOT SPA,Puerto Montt,Los Lagos,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5460626,TRUSAL S A,96566740-7,CENTRO PUNTA ERRAZURIZ,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Palena,Chaitén,10401,-42.98203353,-72.7991021,Generador Industrial,,,40.275,1,Eliminación,3.0,Disposición final,12.0,Vertedero,20 03 99 | Residuos municipales no especificados en otra categoría,20 03 99 | Residuos municipales no especificados en otra categoría,,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",,03 | Otros residuos municipales,59355.0,EL EMPALME,REXIN SPA,Maullín,Los Lagos,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,11626,CERVECERA CCU CHILE LIMITADA,96989120-4,CERVECERA CCU CHILE LTDA. (2),Otras industrias manufactureras,,Elaboración de bebidas malteadas y de malta,C1103,Elaboración de bebidas malteadas y de malta,C110300,Metropolitana de Santiago,Santiago,Quilicura,13125,-33.36098096,-70.70325284,Generador Industrial,,,38.06,2,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,17 04 11 | Cables distintos de los especificados en el código 17 04 10,17 04 11 | Cables distintos de los especificados en el código 17 04 10,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),5468593.0,SUD TRADE SPA,SUD TRADE SPA,Lampa,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
