año;rol_establecimiento;id_rol_establecimiento;id_vu;nombre_establecimiento;razon_social;rut_razon_social;ciiu4;id_ciiu4;ciiu6;id_ciiu6;latitud;longitud;id_comuna;comuna;provincia;region;rubro_vu;id_rubro_vu;entrada_salida;cantidad_toneladas;tratamiento_nivel_3;id_tratamiento_nivel_3;tratamiento_nivel_1;id_tratamiento_nivel_1;capitulo_ler;id_capitulo_ler;subcapitulo_ler;id_subcapitulo_ler;nombre_ler;id_nombre_ler;ler_codigo;id_ler_codigo
2021;Destinatario Final;4;15752;PLANTA RAHUE ALTO;CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L;52003786-1;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,58066129;-73,16120009;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;8,03;Reciclaje de plásticos;18;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 39 | Plásticos;39; Plásticos;200139
2021;Destinatario Final;4;15752;PLANTA RAHUE ALTO;CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L;52003786-1;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,58066129;-73,16120009;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;17,017;Pretratamiento de plásticos;45;Recolección;5;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;02 01 04 | Residuos de plásticos (excepto embalajes);4; Residuos de plásticos (excepto embalajes);20104
2021;Destinatario Final;4;15752;PLANTA RAHUE ALTO;CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L;52003786-1;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,58066129;-73,16120009;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;16,058;Reciclaje de plásticos;18;Valorización;2;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;02 01 09 | Residuos agroquímicos distintos de los mencionados en el código 02 01 08;9; Residuos agroquímicos distintos de los mencionados en el código 02 01 08;20109
2021;Destinatario Final;4;15752;PLANTA RAHUE ALTO;CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L;52003786-1;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,58066129;-73,16120009;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;915,35;Reciclaje de plásticos;18;Valorización;2;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;02 01 99 | Residuos no especificados en otra categoría;99; Residuos no especificados en otra categoría;20199
2021;Destinatario Final;4;15752;PLANTA RAHUE ALTO;CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L;52003786-1;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,58066129;-73,16120009;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;68,653;Pretratamiento de plásticos;45;Recolección;5;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;02 01 99 | Residuos no especificados en otra categoría;99; Residuos no especificados en otra categoría;20199
2021;Destinatario Final;4;633;COMPAÑÍA SIDERÚRGICA HUACHIPATO;CIA SIDERURGICA HUACHIPATO S.A.;94637000-2;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;-36,75168609;-73,12542139;8110;Talcahuano;Concepción;Biobío;Otras industrias manufactureras;10;1;31,18;Reciclaje de Residuos voluminosos;22;Valorización;2;17 | Residuos de la construcción y demolición;17;04 | Metales (incluidas sus aleaciones);4;17 04 07 | Metales mezclados;7; Metales mezclados;170407
2021;Destinatario Final;4;15752;PLANTA RAHUE ALTO;CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L;52003786-1;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,58066129;-73,16120009;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;59,553;Preparación para reutilización;7;Valorización;2;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;02 01 04 | Residuos de plásticos (excepto embalajes);4; Residuos de plásticos (excepto embalajes);20104
2021;Destinatario Final;4;15752;PLANTA RAHUE ALTO;CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L;52003786-1;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,58066129;-73,16120009;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;120,68;Preparación para reutilización;7;Valorización;2;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;02 01 99 | Residuos no especificados en otra categoría;99; Residuos no especificados en otra categoría;20199
2021;Destinatario Final;4;15752;PLANTA RAHUE ALTO;CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L;52003786-1;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,58066129;-73,16120009;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;58,952;Preparación para reutilización;7;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 38 | Madera distinta de la especificada en el código 20 01 37;38; Madera distinta de la especificada en el código 20 01 37;200138
2021;Destinatario Final;4;1903;DYNAL INDUSTRIAL S.A.;DYNAL INDUSTRIAL S A;92264000-9;Fabricación de otros productos químicos n.c.p.;C2029;Fabricación de otros productos químicos n.c.p.;C202909;-33,46087178;-70,69629556;13106;Estación Central;Santiago;Metropolitana de Santiago;Industria química, de plástico y caucho;7;1;695,93;Preparación para reutilización;7;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 01 | Papel y cartón;1; Papel y cartón;200101
2021;Destinatario Final;4;1903;DYNAL INDUSTRIAL S.A.;DYNAL INDUSTRIAL S A;92264000-9;Fabricación de otros productos químicos n.c.p.;C2029;Fabricación de otros productos químicos n.c.p.;C202909;-33,46087178;-70,69629556;13106;Estación Central;Santiago;Metropolitana de Santiago;Industria química, de plástico y caucho;7;2;36,39;Relleno sanitario;11;Eliminación;1;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;3;03 | Residuos de la producción y transformación de pasta de papel, papel y cartón;3;03 03 07 | Desechos, separados mecánicamente, de pasta elaborada a partir de residuos de papel y cartón;7; Desechos, separados mecánicamente, de pasta elaborada a partir de residuos de papel y cartón;30307
2021;Destinatario Final;4;2169953;DEPÓSITO DE CENIZAS ANGAMOS;EMPRESA ELECTRICA ANGAMOS SPA;76004976-K;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;-23,09850465;-70,44550701;2102;Mejillones;Antofagasta;Antofagasta;Termoeléctricas;11;1;56243,392;Depósito de Cenizas;58;Eliminación;1;10 | Residuos de procesos térmicos;10;01 | Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19);1;10 01 01 | Cenizas del hogar, escorias y polvo de caldera (excepto el polvo de caldera especificado en el código 10 01 04);1; Cenizas del hogar, escorias y polvo de caldera (excepto el polvo de caldera especificado en el código 10 01 04);100101
2021;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935832;-70,03564303;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;0,043;Depósito de Seguridad;33;Eliminación;1;17 | Residuos de la construcción y demolición;17;02 | Madera, vidrio y plástico;2;17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10;3; Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10;170203
2021;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935832;-70,03564303;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;29,34;Depósito de Seguridad;33;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 39 | Plásticos;39; Plásticos;200139
2021;Destinatario Final;4;3258677;ILUSTRE MUNICIPALIDAD DE PORVENIR;I.MUNICIPALIDAD DE PORVENIR;69250300-7;Actividades de la administración pública en general;O8411;Actividades de la administración pública en general;O841100;-53,2951848;-70,36960324;12301;Porvenir;Tierra del Fuego;Magallanes y de la Antártica Chilena;Otras actividades;20;1;5,6;Basural;30;Eliminación;1;17 | Residuos de la construcción y demolición;17;02 | Madera, vidrio y plástico;2;17 02 01 | Madera libre de impregnación o pinturas;1; Madera libre de impregnación o pinturas;170201
2021;Destinatario Final;4;5474106;LAMPA BIOILS;BIOILS SPA;76140586-1;Otras industrias manufactureras n.c.p.;C3290;Otras industrias manufactureras n.c.p.;C329000;-33,34360739;-70,82110553;13302;Lampa;Chacabuco;Metropolitana de Santiago;Otras industrias manufactureras;10;1;24,4;Vertedero;12;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1; Mezclas de residuos municipales;200301
2021;Destinatario Final;4;5474686;PARCELA MONTE SION;0;11295101-6;Almacenamiento y depósito;H5210;Otros servicios de almacenamiento y depósito n.c.p.;H521009;-36,97961863;-73,12744854;8102;Coronel;Concepción;Biobío;Otras actividades;20;1;3757,5;Sitio de Escombros de la Construcción;60;Eliminación;1;17 | Residuos de la construcción y demolición;17;01 | Hormigón, ladrillos, tejas y materiales cerámicos;1;17 01 01 | Hormigón;1; Hormigón;170101
2021;Destinatario Final;4;5476275;COMPOSTAJE EL HUAPE;RIMAT SERVICIOS LIMITADA;76814338-2;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;-36,61935235;-72,2645554;16101;Chillán;Diguillín;Ñuble;Gestores de residuos;15;1;123,37;Compostaje;27;Valorización;2;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;02 | Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal;2;02 02 01 | Lodos de lavado y limpieza;1; Lodos de lavado y limpieza;20201
2021;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935832;-70,03564303;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;28,73;Depósito de Seguridad;33;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1; Mezclas de residuos municipales;200301
2021;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935832;-70,03564303;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;448,6;Depósito de Seguridad;33;Eliminación;1;17 | Residuos de la construcción y demolición;17;09 | Otros residuos de construcción y demolición;9;17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03;4; Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03;170904
2021;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935832;-70,03564303;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;0,304;Depósito de Seguridad;33;Eliminación;1;17 | Residuos de la construcción y demolición;17;04 | Metales (incluidas sus aleaciones);4;17 04 07 | Metales mezclados;7; Metales mezclados;170407
2021;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935832;-70,03564303;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;139,68;Depósito de Seguridad;33;Eliminación;1;17 | Residuos de la construcción y demolición;17;05 | Tierra (excluida la excavada de zonas contaminadas), piedras y lodos de drenaje;5;17 05 04 | Tierra y piedras distintas de las especificadas en el código 17 05 03;4; Tierra y piedras distintas de las especificadas en el código 17 05 03;170504
2021;Destinatario Final;4;5466083;COMERCIAL E INDUSTRIAL ALBROMET LTDA;COMERCIAL E INDUSTRIAL ALBROMET LTDA;78714530-2;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;-33,38366877;-70,81657655;13124;Pudahuel;Santiago;Metropolitana de Santiago;Otras industrias manufactureras;10;1;0,875;Reciclaje de metales;20;Valorización;2;10 | Residuos de procesos térmicos;10;02 | Residuos de la industria del hierro y del acero;2;10 02 99 | Residuos no especificados en otra categoría;99; Residuos no especificados en otra categoría;100299
2021;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935832;-70,03564303;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;10,07;Depósito de Seguridad;33;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 38 | Madera distinta de la especificada en el código 20 01 37;38; Madera distinta de la especificada en el código 20 01 37;200138
2021;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935832;-70,03564303;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;1583,34;Depósito de Seguridad;33;Eliminación;1;17 | Residuos de la construcción y demolición;17;09 | Otros residuos de construcción y demolición;9;17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03;4; Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03;170904
2021;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935832;-70,03564303;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;25,1;Depósito de Seguridad;33;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 07 | Residuos voluminosos (incluidos muebles);7; Residuos voluminosos (incluidos muebles);200307
2021;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935832;-70,03564303;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;24,205;Depósito de Seguridad;33;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 01 | Papel y cartón;1; Papel y cartón;200101
2021;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935832;-70,03564303;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;582,62;Depósito de Seguridad;33;Eliminación;1;17 | Residuos de la construcción y demolición;17;01 | Hormigón, ladrillos, tejas y materiales cerámicos;1;17 01 01 | Hormigón;1; Hormigón;170101
2021;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935832;-70,03564303;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;2,008;Depósito de Seguridad;33;Eliminación;1;17 | Residuos de la construcción y demolición;17;02 | Madera, vidrio y plástico;2;17 02 01 | Madera libre de impregnación o pinturas;1; Madera libre de impregnación o pinturas;170201
2021;Destinatario Final;4;5442680;PLANTA HARSCOTILTIL;HARSCO METALS CHILE S.A.;87676500-4;Venta al por menor de otros productos nuevos en comercios especializados;G4773;Venta al por menor de otros productos en comercios especializados n.c.p.;G477399;-33,15627488;-70,84909807;13303;Tiltil;Chacabuco;Metropolitana de Santiago;Comercio minorista;19;1;123017,9;Reciclaje de metales;20;Valorización;2;10 | Residuos de procesos térmicos;10;09 | Residuos de la fundición de piezas férreas;9;10 09 03 | Escorias de horno;3; Escorias de horno;100903
2021;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935832;-70,03564303;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;22,42;Depósito de Seguridad;33;Eliminación;1;17 | Residuos de la construcción y demolición;17;09 | Otros residuos de construcción y demolición;9;17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03;4; Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03;170904
2021;Destinatario Final;4;2397;PLANTA ARAUCO;CELULOSA ARAUCO Y CONSTITUCION S A;93458000-1;Fabricación de pasta de madera, papel y cartón;C1701;Fabricación de celulosa y otras pastas de madera;C170110;-37,20620981;-73,22433337;8202;Arauco;Arauco;Biobío;Industria del papel y celulosa;5;1;5960,303;Vertedero;12;Eliminación;1;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;3;03 | Residuos de la producción y transformación de pasta de papel, papel y cartón;3;03 03 09 | Residuos de lodos calizos;9; Residuos de lodos calizos;30309
