anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2022,,5440322,MINERA ANTUCOYA,76079669-7,MINERA ANTUCOYA,Minería,4.0,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Antofagasta,Antofagasta,Mejillones,2102,-22.622444473777,-69.838470110231,Destinatario Final,,1,316.25,1,Eliminación,,,11,Relleno sanitario,20 03 01 ,20 03 01 | Mezclas de residuos municipales,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3,03 | Otros residuos municipales,,,,,,,df-sinader-2022-ckan.csv,False
2022,,5471595,RECICLAJE Y COMERCIALIZACION DE EXCEDENTES MINEROS Y ARTICULOS DE REMA,76337798-9,CASA MATRIZ,Gestores de residuos,15.0,Recuperación de materiales,E3830,Recuperación y reciclamiento de desperdicios y desechos metálicos,E383001,Atacama,Copiapó,Tierra Amarilla,3103,-27.450509190465,-70.26588962866,Destinatario Final,,1,344.2,2,Valorización,,,2,Valorización,17 04 05 ,17 04 05 | Hierro y acero no galvanizados,17,17 | Residuos de la construcción y demolición,4,04 | Metales (incluidas sus aleaciones),,,,,,,df-sinader-2022-ckan.csv,False
2022,,5453558,RECICLAJES INDUSTRIALES S A,96834290-8,RECICLAJES INDUSTRIALES SA,Otras actividades,20.0,Actividades de descontaminación y otros servicios de gestión de desechos,E3900,Actividades de descontaminación y otros servicios de gestión de desechos,E390000,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.378585004699,-70.772131699785,Destinatario Final,,1,145.1,2,Valorización,,,27,Compostaje,17 02 01 ,17 02 01 | Madera libre de impregnación o pinturas,17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",,,,,,,df-sinader-2022-ckan.csv,False
2022,,5453558,RECICLAJES INDUSTRIALES S A,96834290-8,RECICLAJES INDUSTRIALES SA,Otras actividades,20.0,Actividades de descontaminación y otros servicios de gestión de desechos,E3900,Actividades de descontaminación y otros servicios de gestión de desechos,E390000,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.378585004699,-70.772131699785,Destinatario Final,,1,8.73,2,Valorización,,,27,Compostaje,20 03 99 ,20 03 99 | Residuos municipales no especificados en otra categoría,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3,03 | Otros residuos municipales,,,,,,,df-sinader-2022-ckan.csv,False
2022,,5453558,RECICLAJES INDUSTRIALES S A,96834290-8,RECICLAJES INDUSTRIALES SA,Otras actividades,20.0,Actividades de descontaminación y otros servicios de gestión de desechos,E3900,Actividades de descontaminación y otros servicios de gestión de desechos,E390000,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.378585004699,-70.772131699785,Destinatario Final,,1,31.47,2,Valorización,,,8,Reciclaje,16 03 06 ,16 03 06 | Residuos orgánicos distintos de los especificados en el código 16 03 05,16,16 | Residuos no especificados en otro capítulo de la lista,3,03 | Lotes de productos fuera de especificación y productos no utilizados,,,,,,,df-sinader-2022-ckan.csv,False
2022,,5452485,VEOLIA RESPEL CHILE SPA,76395745-4,Veolia Respel Chile SpA,Gestores de residuos,15.0,Tratamiento y eliminación de desechos peligrosos,E3822,Tratamiento y eliminación de desechos peligrosos,E382200,Valparaíso,Valparaíso,Valparaíso,5101,-33.12486742569,-71.544222735787,Destinatario Final,,1,141.0,1,Eliminación,,,33,Depósito de Seguridad,07 06 99 ,07 06 99 | Residuos no especificados en otra categoría,7,07 | Residuos de procesos químicos orgánicos,6,"06 | Residuos de la FFDU de grasas, jabones, detergentes, desinfectantes y cosméticos",,,,,,,df-sinader-2022-ckan.csv,False
2022,,5459852,ESPINOZA HERMANOS LIMITADA,76126367-6,ESPINOZA HERMANOS LIMITADA,Gestores de residuos,15.0,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,Atacama,Huasco,Vallenar,3301,-28.290438355457,-70.697985791257,Destinatario Final,,1,56.0,5,Recolección,,,44,Pretratamiento de Metales,17 04 07 ,17 04 07 | Metales mezclados,17,17 | Residuos de la construcción y demolición,4,04 | Metales (incluidas sus aleaciones),,,,,,,df-sinader-2022-ckan.csv,False
2022,,5459852,ESPINOZA HERMANOS LIMITADA,76126367-6,ESPINOZA HERMANOS LIMITADA,Gestores de residuos,15.0,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,Atacama,Huasco,Vallenar,3301,-28.290438355457,-70.697985791257,Destinatario Final,,1,4.33,2,Valorización,,,20,Reciclaje de metales,17 04 07 ,17 04 07 | Metales mezclados,17,17 | Residuos de la construcción y demolición,4,04 | Metales (incluidas sus aleaciones),,,,,,,df-sinader-2022-ckan.csv,False
2022,,90327,HIDRONOR CHILE S.A,96607990-8,PLANTA PUDAHUEL,Otras actividades,20.0,Actividades de descontaminación y otros servicios de gestión de desechos,E3900,Actividades de descontaminación y otros servicios de gestión de desechos,E390000,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.421077864092,-70.81640910523,Destinatario Final,,1,0.849,1,Eliminación,,,33,Depósito de Seguridad,17 04 05 ,17 04 05 | Hierro y acero no galvanizados,17,17 | Residuos de la construcción y demolición,4,04 | Metales (incluidas sus aleaciones),,,,,,,df-sinader-2022-ckan.csv,False
2022,,90327,HIDRONOR CHILE S.A,96607990-8,PLANTA PUDAHUEL,Otras actividades,20.0,Actividades de descontaminación y otros servicios de gestión de desechos,E3900,Actividades de descontaminación y otros servicios de gestión de desechos,E390000,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.421077864092,-70.81640910523,Destinatario Final,,1,11.573,1,Eliminación,,,33,Depósito de Seguridad,07 02 99 ,07 02 99 | Residuos no especificados en otra categoría,7,07 | Residuos de procesos químicos orgánicos,2,"02 | Residuos de la FFDU de plásticos, caucho sintético y fibras artificiales",,,,,,,df-sinader-2022-ckan.csv,False
2022,,5464578,RECICLADORA RECICLEAN SPA,76201081-K,RECICLADORA RECICLEAN SPA,Gestores de residuos,15.0,Recuperación de materiales,E3830,Recuperación y reciclamiento de papel,E383002,Metropolitana de Santiago,Santiago,Cerrillos,13102,-33.486139854149,-70.7029226747,Destinatario Final,,1,0.035,2,Valorización,,,19,Reciclaje de vidrio,20 01 02 ,20 01 02 | Vidrio,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),,,,,,,df-sinader-2022-ckan.csv,False
2022,,2289604,HIDRONOR CHILE S.A,96607990-8,PLANTA ANTOFAGASTA,Gestores de residuos,15.0,Tratamiento y eliminación de desechos peligrosos,E3822,Tratamiento y eliminación de desechos peligrosos,E382200,Antofagasta,Antofagasta,Antofagasta,2101,-24.25935831735,-70.035643027901,Destinatario Final,,1,124.88,1,Eliminación,,,33,Depósito de Seguridad,10 06 99 ,10 06 99 | Residuos no especificados en otra categoría,10,10 | Residuos de procesos térmicos,6,06 | Residuos de la termometalurgia del cobre,,,,,,,df-sinader-2022-ckan.csv,False
2022,,33161,HIDRONOR CHILE S.A,96607990-8,PLANTA COPIULEMU,Gestores de residuos,15.0,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,Biobío,Concepción,Florida,8104,-36.863902346883,-72.856266512602,Destinatario Final,,1,143.08,1,Eliminación,,,11,Relleno sanitario,10 11 05 ,10 11 05 | Partículas y polvo,10,10 | Residuos de procesos térmicos,11,11 | Residuos de la fabricación del vidrio y sus derivados,,,,,,,df-sinader-2022-ckan.csv,False
2022,,5476517,FREDY EDUARDO CORDOVA RIQUELME,13388074-7,FREDY EDUARDO CORDOVA RIQUELME,Otras actividades,20.0,Otras actividades de servicios personales n.c.p.,S9609,Otras actividades de servicios personales n.c.p.,S960909,Biobío,Biobío,Los Angeles,8301,-37.465915358555,-72.32642931918,Destinatario Final,,2,12.625,5,Recolección,,,44,Pretratamiento de Metales,12 01 99 ,12 01 99 | Residuos no especificados en otra categoría,12,12 | Residuos del moldeado y del tratamiento físico y mecánico de superficie de metales y plásticos,1,01 | Residuos del moldeado y tratamiento físico y mecánico de superficie de metales y plásticos,,,,,,,df-sinader-2022-ckan.csv,False
2022,,5955,BRAVO ENERGY CHILE S A,96726750-3,BRAVO ENERGY CHILE SA,Comercio mayorista,18.0,Venta al por mayor no especializada,G4690,Venta al por mayor no especializada,G469000,Metropolitana de Santiago,Santiago,Maipú,13119,-33.531281959795,-70.751573813776,Destinatario Final,,1,9.76,2,Valorización,,,2,Valorización,07 06 99 ,07 06 99 | Residuos no especificados en otra categoría,7,07 | Residuos de procesos químicos orgánicos,6,"06 | Residuos de la FFDU de grasas, jabones, detergentes, desinfectantes y cosméticos",,,,,,,df-sinader-2022-ckan.csv,False
2022,,244575,ECOBIO SPA,77295110-8,ECOBIO,Gestores de residuos,15.0,Tratamiento y eliminación de desechos peligrosos,E3822,Tratamiento y eliminación de desechos peligrosos,E382200,Ñuble,Diguillín,Chillan Viejo,16103,-36.696851570736,-72.163945907103,Destinatario Final,,1,266.78,1,Eliminación,,,3,Disposición final,02 02 04 ,02 02 04 | Lodos del tratamiento in situ de efluentes,2,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",2,"02 | Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal",,,,,,,df-sinader-2022-ckan.csv,False
2022,,348951,ENERGIA PACIFICO S.A.,76004531-4,ENERGIA PACIFICO SA,Termoeléctricas,11.0,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Libertador Gral. Bernardo O'Higgins,Cachapoal,Mostazal,6110,-33.981091016593,-70.697577398787,Destinatario Final,,1,0.6,2,Valorización,,,23,Co-procesamiento,17 02 01 ,17 02 01 | Madera libre de impregnación o pinturas,17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",,,,,,,df-sinader-2022-ckan.csv,False
2022,,244575,ECOBIO SPA,77295110-8,ECOBIO,Gestores de residuos,15.0,Tratamiento y eliminación de desechos peligrosos,E3822,Tratamiento y eliminación de desechos peligrosos,E382200,Ñuble,Diguillín,Chillan Viejo,16103,-36.696851570736,-72.163945907103,Destinatario Final,,1,5348.422,1,Eliminación,,,11,Relleno sanitario,03 01 99 ,03 01 99 | Residuos no especificados en otra categoría,3,"03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón",1,01 | Residuos de la transformación de la madera y de la producción de tableros y muebles,,,,,,,df-sinader-2022-ckan.csv,False
2022,,5478528,EMPRESA CONSTRUCTORA CAM Y ASOCIADOS LIMITADA,78854210-0,PLANTA COMPOSTAJE LUZ VERDE,Gestores de residuos,15.0,Recuperación de materiales,E3830,Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.,E383009,Valparaíso,Valparaíso,Concón,5103,-32.971718518826,-71.474738188043,Destinatario Final,,1,65.89,2,Valorización,,,27,Compostaje,17 02 01 ,17 02 01 | Madera libre de impregnación o pinturas,17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",,,,,,,df-sinader-2022-ckan.csv,False
2022,,5478064,CONARE CHILE SPA,76995969-6,CONARE VALDIVIA,Otras actividades,20.0,Transporte de carga por carretera,H4923,Transporte de carga por carretera,H492300,Los Ríos,Valdivia,Valdivia,14101,-39.817379960075,-73.242533254611,Destinatario Final,,1,13.43,2,Valorización,,,7,Preparación para reutilización,20 01 01 ,20 01 01 | Papel y cartón,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),,,,,,,df-sinader-2022-ckan.csv,False
2022,,5463244,ECCOFEED SPA,76415706-0,ECCOFEED SPA,Otras industrias manufactureras,10.0,Elaboración de piensos preparados para animales,C1080,Elaboración de piensos preparados para animales,C108000,Metropolitana de Santiago,Maipo,Buin,13402,-33.73446278408,-70.725935787152,Destinatario Final,,1,6.07,2,Valorización,,,7,Preparación para reutilización,02 05 01 ,02 05 01 | Materiales inadecuados para el consumo o la elaboración,2,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",5,05 | Residuos de la industria de productos lácteos,,,,,,,df-sinader-2022-ckan.csv,False
2022,,5465719,RECYCLING S.A.,77032590-0,RECYCLING LAS INDUSTRIAS,Gestores de residuos,15.0,Tratamiento y eliminación de desechos peligrosos,E3822,Tratamiento y eliminación de desechos peligrosos,E382200,Metropolitana de Santiago,Chacabuco,Lampa,13302,-33.326797661368,-70.731581784114,Destinatario Final,,1,15.6252999878,2,Valorización,,,23,Co-procesamiento,20 01 25 ,20 01 25 | Aceites y grasas comestibles,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),,,,,,,df-sinader-2022-ckan.csv,False
2022,,5465719,RECYCLING S.A.,77032590-0,RECYCLING LAS INDUSTRIAS,Gestores de residuos,15.0,Tratamiento y eliminación de desechos peligrosos,E3822,Tratamiento y eliminación de desechos peligrosos,E382200,Metropolitana de Santiago,Chacabuco,Lampa,13302,-33.326797661368,-70.731581784114,Destinatario Final,,1,0.96,1,Eliminación,,,11,Relleno sanitario,09 01 99 ,09 01 99 | Residuos no especificados en otra categoría,9,09 | Residuos de la industria fotográfica,1,01 | Residuos de la industria fotográfica,,,,,,,df-sinader-2022-ckan.csv,False
2022,,5473631,INVERSIONES PANUL LIMITADA,76349947-2,RELLENO SANITARIO EL PANUL,Gestores de residuos,15.0,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,Coquimbo,Elqui,Coquimbo,4102,-30.012196316298,-71.363305501789,Destinatario Final,,1,2.14,1,Eliminación,,,11,Relleno sanitario,17 01 01 ,17 01 01 | Hormigón,17,17 | Residuos de la construcción y demolición,1,"01 | Hormigón, ladrillos, tejas y materiales cerámicos",,,,,,,df-sinader-2022-ckan.csv,False
2022,,5478506,INVERSIONES CORMI LIMITADA,76855448-K,INVERSIONES CORMI LIMITADA,Gestores de residuos,15.0,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.393871344258,-70.810187902656,Destinatario Final,,1,2314.6,1,Eliminación,,,60,Sitio de Escombros de la Construcción,17 01 01 ,17 01 01 | Hormigón,17,17 | Residuos de la construcción y demolición,1,"01 | Hormigón, ladrillos, tejas y materiales cerámicos",,,,,,,df-sinader-2022-ckan.csv,False
2022,,5478506,INVERSIONES CORMI LIMITADA,76855448-K,INVERSIONES CORMI LIMITADA,Gestores de residuos,15.0,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.393871344258,-70.810187902656,Destinatario Final,,1,10109.305,1,Eliminación,,,60,Sitio de Escombros de la Construcción,17 05 04 ,17 05 04 | Tierra y piedras distintas de las especificadas en el código 17 05 03,17,17 | Residuos de la construcción y demolición,5,"05 | Tierra (excluida la excavada de zonas contaminadas), piedras y lodos de drenaje",,,,,,,df-sinader-2022-ckan.csv,False
2022,,4587897,ECOMAULE S A,99539220-8,CENTRO DE TRATAMIENTO DE RESIDUOS ECOMAULE,Gestores de residuos,15.0,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,Maule,Talca,Río Claro,7108,-35.200752053255,-71.401907015959,Destinatario Final,,1,132.152,1,Eliminación,,,11,Relleno sanitario,04 01 09 ,04 01 09 | Residuos de confección y acabado,4,"04 | Residuos de las industrias del cuero, de la piel y textil",1,01 | Residuos de las industrias del cuero y de la piel,,,,,,,df-sinader-2022-ckan.csv,False
2022,,97614,CONSORCIO SANTA MARTA S A,96828810-5,RELLENO SANITARIO SANTA MARTA,Gestores de residuos,15.0,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,Metropolitana de Santiago,Talagante,Talagante,13601,-33.697171417964,-70.802532359533,Destinatario Final,,1,103.05,1,Eliminación,,,11,Relleno sanitario,04 02 99 ,04 02 99 | Residuos no especificados en otra categoría,4,"04 | Residuos de las industrias del cuero, de la piel y textil",2,02 | Residuos de la industria textil,,,,,,,df-sinader-2022-ckan.csv,False
2022,,97614,CONSORCIO SANTA MARTA S A,96828810-5,RELLENO SANITARIO SANTA MARTA,Gestores de residuos,15.0,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,Metropolitana de Santiago,Talagante,Talagante,13601,-33.697171417964,-70.802532359533,Destinatario Final,,1,4.7,1,Eliminación,,,11,Relleno sanitario,06 05 03 ,"06 05 03 | Lodos del tratamiento in situ de efluentes, distintos de los mencionados en el código 06 05 02",6,06 | Residuos de procesos químicos inorgánicos,5,05 | Lodos del tratamiento in situ de efluentes,,,,,,,df-sinader-2022-ckan.csv,False
2022,,2397,CELULOSA ARAUCO Y CONSTITUCION S A,93458000-1,PLANTA ARAUCO,Industria del papel y celulosa,5.0,"Fabricación de pasta de madera, papel y cartón",C1701,Fabricación de celulosa y otras pastas de madera,C170110,Biobío,Arauco,Arauco,8202,-37.206209812008,-73.224333370304,Destinatario Final,,1,14470.263,1,Eliminación,,,12,Vertedero,03 03 09 ,03 03 09 | Residuos de lodos calizos,3,"03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón",3,"03 | Residuos de la producción y transformación de pasta de papel, papel y cartón",,,,,,,df-sinader-2022-ckan.csv,False
2022,,97614,CONSORCIO SANTA MARTA S A,96828810-5,RELLENO SANITARIO SANTA MARTA,Gestores de residuos,15.0,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,Metropolitana de Santiago,Talagante,Talagante,13601,-33.697171417964,-70.802532359533,Destinatario Final,,1,655.47,1,Eliminación,,,11,Relleno sanitario,01 01 01 ,01 01 01 | Residuos de la extracción de minerales metálicos,1,"01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales",1,01 | Residuos de la extracción de minerales,,,,,,,df-sinader-2022-ckan.csv,False
2022,,97614,CONSORCIO SANTA MARTA S A,96828810-5,RELLENO SANITARIO SANTA MARTA,Gestores de residuos,15.0,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,Metropolitana de Santiago,Talagante,Talagante,13601,-33.697171417964,-70.802532359533,Destinatario Final,,1,4.32,1,Eliminación,,,11,Relleno sanitario,04 01 02 ,04 01 02 | Residuos de encalado,4,"04 | Residuos de las industrias del cuero, de la piel y textil",1,01 | Residuos de las industrias del cuero y de la piel,,,,,,,df-sinader-2022-ckan.csv,False
2022,,5471589,ECOPLAS LIMITADA,76735950-0,ECOPLAS LIMITADA,Comercio mayorista,18.0,"Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.",G4669,"Venta al por mayor de desperdicios, desechos y otros productos n.c.p.",G466909,Metropolitana de Santiago,Santiago,Quinta Normal,13126,-33.415018043999,-70.703264167001,Destinatario Final,,1,0.759,1,Eliminación,,,33,Depósito de Seguridad,15 01 02 ,15 01 02 | Envases de plástico,15,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",1,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),,,,,,,df-sinader-2022-ckan.csv,False
